hotel_id,hotel_name,n_comment,rank_in_country,url
1,"b""\n\nTesto's Restaurant & Pizza\n\n""",133,b'\n#1 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d420263-Reviews-Testo_s_Restaurant_Pizza-Troy_New_York.html
2,"b""\n\nPeck's Arcade\n\n""",145,b'\n#2 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d7376336-Reviews-Peck_s_Arcade-Troy_New_York.html
3,b'\n\nDinosaur Bar-B-Que\n\n',685,b'\n#3 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d2093018-Reviews-Dinosaur_Bar_B_Que-Troy_New_York.html
4,b'\n\nILLIUM CAFE\n\n',250,b'\n#4 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d2388510-Reviews-ILLIUM_CAFE-Troy_New_York.html
5,"b""\n\nBrown's Brewing Company\n\n""",453,b'\n#5 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d1153096-Reviews-Brown_s_Brewing_Company-Troy_New_York.html
6,"b""\n\nDe Fazio's Pizzeria\n\n""",83,b'\n#6 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d420254-Reviews-De_Fazio_s_Pizzeria-Troy_New_York.html
7,b'\n\nPlum Blossom\n\n',239,b'\n#7 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d420160-Reviews-Plum_Blossom-Troy_New_York.html
8,b'\n\nThe Shop\n\n',80,b'\n#8 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d7193910-Reviews-The_Shop-Troy_New_York.html
9,b'\n\nAli Baba\n\n',109,b'\n#9 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d854096-Reviews-Ali_Baba-Troy_New_York.html
10,b'\n\nThe Whistling Kettle Troy\n\n',125,b'\n#10 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d6770893-Reviews-The_Whistling_Kettle_Troy-Troy_New_York.html
11,b'\n\nBeirut Restaurant\n\n',59,b'\n#11 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d1629192-Reviews-Beirut_Restaurant-Troy_New_York.html
12,b'\n\nLo Porto Ristorante Caffe\n\n',130,b'\n#12 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d420193-Reviews-Lo_Porto_Ristorante_Caffe-Troy_New_York.html
